Transaction ID,Item ID
1,1
1,3
1,8
2,1
2,3
2,8
3,1
3,3
3,8
4,1
4,3
4,8
5,1
5,3
5,8
6,1
6,3
6,8
7,1
7,3
7,8
8,1
8,3
8,8
9,1
9,3
9,8
10,1
10,3
10,8
11,1
11,3
11,8
12,1
12,3
12,8
13,1
13,3
13,8
14,1
14,3
14,8
15,1
15,3
15,8
16,1
16,3
16,8
17,1
17,3
17,8
18,1
18,3
18,8
19,1
19,3
19,8
20,1
20,3
20,8
21,1
21,3
21,8
22,1
22,3
22,8
23,1
23,3
23,8
24,1
24,3
24,8
25,1
25,3
25,8
26,1
26,3
26,8
27,1
27,3
27,8
28,1
28,3
28,8
29,1
29,3
29,8
30,1
30,3
30,8
31,1
31,3
31,8
32,1
32,3
32,8
33,1
33,3
33,8
34,1
34,3
34,8
35,1
35,3
35,8
36,1
36,3
36,8
37,1
37,3
37,8
38,1
38,3
38,8
39,1
39,3
39,8
40,1
40,3
40,8
41,1
41,3
41,8
42,1
42,3
42,8
43,1
43,3
43,8
44,1
44,3
44,8
45,1
45,3
45,8
46,1
46,3
46,8
47,1
47,3
47,8
48,1
48,3
48,8
49,1
49,3
49,8
50,1
50,3
50,8
51,1
51,3
51,8
52,1
52,3
52,8
53,1
53,3
53,8
54,1
54,3
54,8
55,1
55,3
55,8
56,1
56,3
56,8
57,1
57,3
57,8
58,1
58,3
58,8
59,1
59,3
59,8
60,1
60,3
60,8
61,2
61,6
62,2
62,6
63,2
63,6
64,2
64,6
65,2
65,6
66,2
66,6
67,2
67,6
68,2
68,6
69,2
69,6
70,2
70,6
71,4
71,11
72,4
72,11
73,4
73,11
74,4
74,11
75,4
75,11
76,4
76,11
77,4
77,11
78,4
78,11
79,4
79,11
80,4
80,11
81,4
81,11
82,4
82,11
83,4
83,11
84,4
84,11
85,4
85,11
86,4
86,11
87,4
87,11
88,4
88,11
89,4
89,11
90,4
90,11
91,5
91,14
92,5
92,14
93,5
93,14
94,5
94,14
95,5
95,14
96,5
96,14
97,5
97,14
98,5
98,14
99,5
99,14
100,5
100,14
101,6
101,16
101,18
102,6
102,16
102,18
103,6
103,16
103,18
104,6
104,16
104,18
105,6
105,16
105,18
106,6
106,16
106,18
107,6
107,16
107,18
108,6
108,16
108,18
109,6
109,16
109,18
110,6
110,16
110,18
111,6
111,16
111,18
112,6
112,16
112,18
113,6
113,16
113,18
114,6
114,16
114,18
115,6
115,16
115,18
116,6
116,16
116,18
117,6
117,16
117,18
118,6
118,16
118,18
119,6
119,16
119,18
120,6
120,16
120,18
121,7
121,17
122,7
122,17
123,7
123,17
124,7
124,17
125,7
125,17
126,7
126,17
127,7
127,17
128,7
128,17
129,7
129,17
130,7
130,17
131,7
131,17
132,7
132,17
133,7
133,17
134,7
134,17
135,7
135,17
136,7
136,17
137,7
137,17
138,7
138,17
139,7
139,17
140,7
140,17
141,7
141,17
142,7
142,17
143,7
143,17
144,7
144,17
145,7
145,17
146,1
146,8
147,1
147,8
148,1
148,8
149,1
149,8
150,1
150,8
151,9
151,10
151,17
152,9
152,10
152,17
153,9
153,10
153,17
154,9
154,10
154,17
155,9
155,10
155,17
156,9
156,10
156,17
157,9
157,10
157,17
158,9
158,10
158,17
159,9
159,10
159,17
160,9
160,10
160,17
161,9
161,10
161,17
162,9
162,10
162,17
163,9
163,10
163,17
164,9
164,10
164,17
165,9
165,10
165,17
166,5
166,11
167,5
167,11
168,5
168,11
169,5
169,11
170,5
170,11
171,5
171,11
172,5
172,11
173,5
173,11
174,5
174,11
175,5
175,11
176,5
176,11
177,5
177,11
178,5
178,11
179,5
179,11
180,5
180,11
181,8
181,12
182,8
182,12
183,8
183,12
184,8
184,12
185,8
185,12
186,13
186,15
187,13
187,15
188,13
188,15
189,13
189,15
190,13
190,15
191,13
191,15
192,13
192,15
193,13
193,15
194,13
194,15
195,13
195,15
196,13
196,15
197,13
197,15
198,13
198,15
199,13
199,15
200,13
200,15
201,13
201,15
202,13
202,15
203,13
203,15
204,13
204,15
205,13
205,15
206,13
206,15
207,13
207,15
208,13
208,15
209,13
209,15
210,13
210,15
211,13
211,15
212,13
212,15
213,13
213,15
214,13
214,15
215,13
215,15
216,13
216,15
217,13
217,15
218,13
218,15
219,13
219,15
220,13
220,15
221,13
221,15
222,13
222,15
223,13
223,15
224,13
224,15
225,13
225,15
226,13
226,15
227,13
227,15
228,13
228,15
229,13
229,15
230,13
230,15
231,13
231,15
232,13
232,15
233,13
233,15
234,13
234,15
235,13
235,15
236,14
236,15
237,14
237,15
238,14
238,15
239,14
239,15
240,14
240,15
241,14
241,15
242,14
242,15
243,14
243,15
244,14
244,15
245,14
245,15
246,14
246,15
247,14
247,15
248,14
248,15
249,14
249,15
250,14
250,15
251,14
251,15
252,14
252,15
253,14
253,15
254,14
254,15
255,14
255,15
256,14
256,15
257,14
257,15
258,14
258,15
259,14
259,15
260,14
260,15
261,14
261,15
262,14
262,15
263,14
263,15
264,14
264,15
265,14
265,15
266,16
266,18
267,16
267,18
268,16
268,18
269,16
269,18
270,16
270,18
271,16
271,18
272,16
272,18
273,16
273,18
274,16
274,18
275,16
275,18
276,16
276,18
277,16
277,18
278,16
278,18
279,16
279,18
280,16
280,18
281,16
281,18
282,16
282,18
283,16
283,18
284,16
284,18
285,16
285,18
286,16
286,18
287,16
287,18
288,16
288,18
289,16
289,18
290,16
290,18
291,16
291,18
292,16
292,18
293,16
293,18
294,16
294,18
295,16
295,18
296,16
296,18
297,16
297,18
298,16
298,18
299,16
299,18
300,16
300,18
301,16
301,18
302,16
302,18
303,16
303,18
304,16
304,18
305,16
305,18
306,16
306,18
307,16
307,18
308,16
308,18
309,16
309,18
310,16
310,18
311,16
311,18
312,16
312,18
313,16
313,18
314,16
314,18
315,16
315,18
316,16
316,18
317,16
317,18
318,16
318,18
319,16
319,18
320,16
320,18
321,16
321,18
322,16
322,18
323,16
323,18
324,16
324,18
325,16
325,18
326,16
326,18
327,16
327,18
328,16
328,18
329,16
329,18
330,16
330,18
331,16
331,18
332,16
332,18
333,16
333,18
334,16
334,18
335,16
335,18
336,16
336,18
337,16
337,18
338,16
338,18
339,16
339,18
340,16
340,18
341,16
341,18
342,16
342,18
343,16
343,18
344,16
344,18
345,16
345,18
